,deadline,goal,launched,state,backers,usd pledged
43,2013-12-13 0:34,15000,2013-11-13 0:34,successful,232,23907
21,2013-12-30 7:06,20000,2013-11-25 7:06,successful,624,34268
261,2014-01-05 20:23,350,2013-12-06 20:23,successful,14,1067
97,2014-01-27 2:00,3000,2013-12-18 20:54,successful,52,3755
51,2014-02-05 0:57,60000,2014-01-11 0:57,successful,632,61365.16
230,2014-03-05 19:00,1500,2014-02-04 1:30,successful,26,1500
272,2014-03-16 22:56,2500,2014-02-14 23:56,failed,15,1186.69
249,2014-03-21 20:04,5500,2014-02-19 21:04,successful,88,6614
257,2014-03-24 21:45,22500,2014-02-22 22:45,failed,2,50
231,2014-04-01 8:59,25000,2014-02-25 0:15,successful,161,30066
96,2014-04-03 17:24,1500,2014-03-04 17:24,successful,29,1932.99
299,2014-05-09 6:30,1500,2014-04-22 2:33,failed,9,247
101,2014-05-11 23:04,500,2014-04-10 23:04,successful,8,756
290,2014-05-14 4:54,9225,2014-04-14 4:54,failed,32,1076
297,2014-05-28 23:32,2500,2014-05-07 23:32,successful,42,3863.37
9,2014-05-29 18:14,125000,2014-04-24 18:14,canceled,58,8233
229,2014-06-03 7:59,2000,2014-04-16 5:25,successful,105,2585
163,2014-06-07 1:00,36000,2014-05-01 17:36,successful,750,91003.67
23,2014-06-15 10:09,3500,2014-05-16 10:10,failed,12,650
89,2014-06-16 22:43,3000,2014-05-17 22:43,failed,18,1027
55,2014-06-19 17:18,11000,2014-05-20 17:18,successful,51,11055
155,2014-07-08 5:59,250000,2014-05-28 13:54,successful,561,268192
190,2014-07-09 9:10,19650,2014-06-09 9:10,successful,164,20313
160,2014-07-31 16:01,70000,2014-07-01 16:01,failed,260,15542.11
288,2014-07-31 18:00,2500,2014-06-25 17:27,successful,75,2611
114,2014-08-07 18:52,100,2014-07-08 18:52,failed,0,0
10,2014-08-10 21:55,65000,2014-07-11 21:55,canceled,43,6240.57
35,2014-08-13 8:59,12000,2014-07-14 22:35,successful,92,13260
228,2014-08-18 19:02,750,2014-07-19 19:02,successful,56,1207
226,2014-08-30 0:59,7000,2014-08-06 21:31,failed,0,0
292,2014-08-30 23:40,550,2014-07-31 23:40,successful,23,708
82,2014-08-31 0:00,13000,2014-08-01 0:02,failed,34,1811
170,2014-09-20 6:59,6500,2014-08-06 21:28,undefined,0,0
125,2014-09-30 23:39,20000,2014-09-01 23:39,failed,0,0
110,2014-10-01 17:06,1750,2014-08-17 17:06,successful,25,1805
13,2014-10-02 17:11,5000,2014-09-02 17:11,failed,0,0
187,2014-10-05 8:00,5000,2014-09-09 20:17,successful,327,26407
123,2014-10-06 13:24,3400,2014-08-07 13:24,failed,0,0
47,2014-10-16 5:59,40000,2014-09-16 2:31,successful,855,63401
100,2014-10-17 11:13,5000,2014-08-18 11:13,failed,0,0
153,2014-10-18 19:40,8500,2014-09-03 19:40,failed,4,1355
56,2014-10-23 20:29,13750,2014-09-24 3:35,failed,1,1
243,2014-10-25 21:23,17000,2014-08-26 21:23,failed,2,35
78,2014-10-27 0:50,7500,2014-10-02 1:50,successful,164,8157.01
17,2014-11-08 22:27,1500,2014-10-09 22:27,failed,16,395
25,2014-11-12 17:15,175,2014-10-23 17:15,successful,66,701.66
129,2014-11-13 21:50,650,2014-10-24 21:50,failed,0,0
260,2014-12-01 12:24,25000,2014-10-24 12:24,canceled,71,18431
73,2014-12-03 21:11,4000,2014-11-03 21:11,successful,95,4795
281,2014-12-06 6:59,3500,2014-11-05 15:50,successful,43,3585
172,2014-12-07 18:02,32000,2014-11-07 18:02,failed,42,4670
265,2014-12-21 8:02,1500,2014-11-21 8:02,successful,47,1900
7,2014-12-21 18:30,1000,2014-12-01 18:30,successful,16,1205
237,2014-12-23 5:00,500,2014-12-03 4:26,failed,1,1
285,2014-12-25 17:43,30000,2014-11-25 17:43,failed,9,1152
246,2015-01-06 19:45,20000,2014-12-07 19:45,successful,383,22421
192,2015-01-17 4:12,275,2015-01-03 4:12,successful,40,642
193,2015-01-18 7:49,14000,2014-12-19 7:49,failed,18,113
84,2015-02-26 18:54,500,2015-02-04 18:54,successful,31,1540
16,2015-02-28 2:10,2500,2015-01-29 2:10,failed,11,664
222,2015-03-23 21:28,300000,2015-01-22 22:28,failed,1,1
284,2015-03-31 21:13,10000,2015-02-25 21:13,failed,36,3238
65,2015-04-09 0:10,850,2015-02-23 0:10,failed,13,485
74,2015-04-10 5:59,13000,2015-03-10 13:19,canceled,65,2453
213,2015-04-24 15:58,8000,2015-03-25 14:58,failed,0,0
178,2015-04-24 19:39,9500,2015-02-23 19:39,failed,0,0
53,2015-05-08 2:53,7500,2015-04-08 2:53,failed,3,3
18,2015-05-10 21:20,3000,2015-04-10 21:20,failed,20,789
253,2015-05-13 13:40,5000,2015-03-14 12:40,failed,0,0
182,2015-06-16 21:44,50000,2015-05-17 21:44,failed,32,1825
264,2015-06-21 5:00,28000,2015-05-15 20:39,failed,62,12024
60,2015-06-23 12:47,25000,2015-05-24 12:47,successful,448,37199
201,2015-07-15 17:55,35000,2015-06-15 17:55,successful,120,39209
205,2015-08-10 5:30,3000,2015-07-22 15:31,successful,140,23079
234,2015-08-16 17:13,1200,2015-08-11 17:13,successful,21,1205
5,2015-08-29 1:00,19500,2015-07-04 8:35,canceled,14,1283
252,2015-08-31 18:33,25000,2015-08-01 18:33,failed,0,0
282,2015-09-05 3:19,40000,2015-08-06 3:19,failed,18,733
254,2015-09-19 2:00,450,2015-08-19 21:02,failed,4,160
180,2015-09-26 22:02,10000,2015-08-27 22:02,failed,10,805
248,2015-10-01 6:59,100000,2015-09-03 17:32,failed,13,1600
75,2015-10-13 0:59,25000,2015-09-08 0:59,canceled,0,0
140,2015-10-22 4:30,650,2015-09-21 14:44,successful,53,2354.5
80,2015-10-30 5:33,50000,2015-08-31 6:33,failed,38,1410
196,2015-12-12 7:06,2500,2015-11-12 7:06,failed,0,0
124,2015-12-29 2:00,2000,2015-11-21 14:12,successful,624,14794
141,2015-12-29 14:56,1000,2015-11-29 14:56,failed,3,95
50,2016-01-02 0:00,1200,2015-11-22 22:47,failed,4,90
39,2016-01-27 21:47,3000,2015-12-23 21:47,failed,2,17
57,2016-02-01 8:06,13500,2016-01-02 8:06,failed,0,0
176,2016-03-01 12:18,80000,2016-01-21 12:18,successful,3784,843743
258,2016-03-05 0:50,5000,2016-01-20 0:50,failed,4,52
8,2016-03-17 19:05,25000,2016-02-01 20:05,failed,40,453
136,2016-03-20 19:26,15000,2016-03-02 2:13,failed,1,25
162,2016-03-22 0:36,7500,2016-01-22 1:36,failed,55,942.25
71,2016-03-25 19:30,87000,2016-02-29 20:30,canceled,15,2030
14,2016-03-25 22:01,200000,2016-02-09 23:01,failed,0,0
6,2016-04-01 13:38,50000,2016-02-26 13:38,successful,224,52375
106,2016-04-17 4:00,20000,2016-03-14 12:39,successful,1261,47273
169,2016-04-24 21:25,1200,2016-03-10 21:25,failed,2,2
235,2016-04-28 23:36,150,2016-04-08 23:36,successful,15,218
119,2016-05-18 19:48,6325,2016-03-19 21:51,failed,2,10
115,2016-05-21 1:46,10000,2016-04-21 1:46,failed,1,10
210,2016-06-01 6:59,4000,2016-04-29 19:53,successful,105,4813
77,2016-06-09 22:52,68000,2016-05-10 22:52,failed,0,0
61,2016-06-18 7:00,250000,2016-04-19 23:53,failed,2,65
63,2016-06-22 18:10,5000,2016-05-23 18:10,failed,8,587
256,2016-06-24 16:19,3500,2016-05-25 16:19,failed,7,107
240,2016-06-26 11:39,5500,2016-05-27 11:39,failed,0,0
221,2016-07-02 4:55,5250,2016-06-02 4:55,failed,0,0
166,2016-07-05 1:46,5000,2016-06-05 18:46,failed,0,0
194,2016-07-06 0:02,15000,2016-05-07 0:02,successful,69,18009
206,2016-07-20 5:59,17500,2016-06-20 8:10,failed,14,615
233,2016-07-31 11:18,5000,2016-07-16 11:18,failed,6,100
174,2016-08-20 16:22,7500,2016-07-06 16:22,successful,86,880
72,2016-08-23 13:18,100000,2016-07-24 13:18,failed,3,100
274,2016-09-18 2:01,2000,2016-08-29 22:44,failed,9,75
116,2016-09-30 22:34,1000,2016-09-05 22:34,failed,13,0
183,2016-10-01 5:59,4000,2016-09-01 15:32,successful,37,15
32,2016-10-08 2:00,1000,2016-09-07 13:14,successful,549,11253
286,2016-10-21 10:00,25000,2016-09-06 10:00,successful,2278,16679
104,2016-11-20 16:23,500,2016-10-21 16:23,failed,4,1
185,2016-11-23 3:35,30000,2016-10-24 3:35,canceled,46,549
220,2016-12-08 8:20,150,2016-11-08 8:20,successful,7,25
42,2016-12-20 22:30,2100,2016-12-09 20:27,successful,34,83
145,2016-12-22 4:46,2500,2016-11-22 4:46,failed,1,30
103,2016-12-28 17:58,1000,2016-11-28 17:58,successful,19,0
225,2017-02-19 19:10,3000,2017-01-05 19:10,failed,4,20
215,2017-02-23 20:46,15000,2017-01-24 20:46,canceled,0,0
203,2017-03-01 15:46,5000,2017-02-02 23:49,failed,2,0
44,2017-03-27 4:01,1500,2017-03-02 4:01,failed,25,324
227,2017-04-01 12:10,2000,2017-02-22 18:32,successful,52,525
118,2017-04-09 1:12,50000,2017-03-10 1:12,failed,3,20
250,2017-04-13 1:00,5000,2017-03-08 17:54,successful,26,300
30,2017-05-03 17:11,50000,2017-04-03 17:11,successful,840,10120
107,2017-05-08 23:25,1800,2017-04-03 23:25,failed,2,7
113,2017-06-14 16:45,500,2017-05-10 16:00,failed,6,261
276,2017-06-24 22:27,2200,2017-05-25 22:27,successful,52,355
161,2017-06-29 19:57,1450,2017-06-14 19:57,successful,33,0
251,2017-07-27 15:52,1000,2017-06-26 15:52,canceled,52,316
139,2017-08-25 17:43,3000,2017-07-11 17:43,successful,33,225
197,2017-09-22 9:59,2000,2017-08-23 9:59,failed,3,0
52,2017-10-30 16:16,9500,2017-09-25 17:17,failed,2,5
2,2017-11-01 3:43,30000,2017-09-02 4:43,failed,15,100
147,2017-11-08 3:00,1000,2017-11-03 13:44,failed,14,420
164,2017-12-07 8:12,50000,2017-11-04 19:46,failed,12,4384
117,2017-12-24 18:06,8000,2017-11-24 18:06,successful,121,605
184,2018-02-06 4:10,5000,2017-12-23 20:34,live,4,200
